ORIGIN	FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
MIXED	1671	1671	0.0138493	-0.000185881	-0.00353195	-0.00705681	-0.000107498	0.0163416	0.00761767	0.000448172	0.00192843	-0.00197946
MIXED	1792	1792	0.00764655	0.00322958	0.00589172	-0.0234592	-0.0188597	-0.0366406	0.00516006	-0.00018005	-0.0180336	-0.0125094
MIXED	1819	1819	0.0107699	0.00418048	0.00419263	-0.00880083	0.0309494	-0.0254952	-0.014127	0.00965299	0.00669606	-0.00726749
MIXED	2123	2123	0.00946035	0.00424191	0.00686177	-0.01375	0.0216677	-0.0335735	-0.0107179	0.0174365	0.00594043	-0.0115117
MIXED	2124	2124	-0.00546348	0.0113892	-0.00476362	0.00198297	-0.0215475	0.00634314	-0.00655363	-0.0222473	0.00566756	-0.0329029
MIXED	2156	2156	0.00559402	0.00615232	0.00742185	-0.00169318	0.0156335	-0.0117622	-0.0283423	-0.0114286	-0.0173554	-0.00808557
MIXED	2389	2389	0.0111544	0.00512585	-0.0060495	-0.00294074	0.0110682	0.00215494	-0.0284875	0.00723231	-0.00819868	0.0105935
MIXED	2390	2390	-0.0179086	0.00264028	-0.00853388	0.0119324	-0.00128414	-0.00673356	0.00602615	0.00703538	0.0171024	0.0086938
MIXED	2461	2461	-0.0185676	0.00558586	-0.00776601	0.00563702	-0.0196243	-0.00672946	0.0113339	-0.00189812	-0.0334778	-0.0169257
MIXED	2471	2471	0.0110232	0.0054504	0.0041674	-0.00769166	-0.024459	-0.00823305	0.00747629	-0.0333457	0.017616	0.000124722
MIXED	2474	2474	-0.00275762	0.00581067	-0.0060613	0.00883022	0.0518441	0.0081974	-0.0150945	0.00385498	-0.00797032	0.00362951
MIXED	2497	2497	0.0113148	0.00325564	-0.0060068	-0.00390216	-0.00131812	-0.000340613	-0.0228236	0.0105639	0.0150496	-0.00979409
MIXED	2598	2598	0.00938275	0.00671499	-0.00192277	-0.00591747	-0.0135602	0.0194889	0.000976269	0.00852524	-0.0255809	0.000250334
MIXED	2716	2716	0.00843821	0.00414828	0.00626279	-0.0254142	-0.00239981	-0.013923	0.0209301	0.0136393	-0.00744809	0.00488778
MIXED	2745	2745	-0.00335301	0.00709955	-0.00177768	0.00286452	-0.0247987	-0.00877411	0.00172215	0.0052537	-0.00904434	-0.0411233
MIXED	2776	2776	0.00744068	0.00312248	0.0043519	-0.0191605	0.0221883	-0.000128008	0.0210057	0.0299053	0.0191566	0.00989614
MIXED	2963	2963	0.0132877	0.00687173	-0.0013984	0.00574262	0.0295029	0.00140094	-0.0251215	-0.00157202	0.0120612	0.00313824
MIXED	2966	2966	0.0120471	0.000899122	-0.00168923	-0.0187242	0.034275	0.0396991	0.0181474	0.00945883	-0.00246201	0.00123231
AFRICA	3009	3009	0.00497562	-0.037949	-0.0159588	0.00751292	-0.00463528	0.0062053	-0.00706975	-0.00489973	0.00285259	0.00549202
MIXED	3027	3027	0.00817473	0.00315726	0.00648315	-0.0247416	-0.00877865	-0.0319006	0.0182474	0.00347869	-0.0156305	-0.00304256
ASIA	3062	3062	-0.0146926	-0.0114713	0.0473879	-3.47E-05	-0.00335873	0.0106399	1.91E-05	-0.00277367	-0.0254492	-0.00241987
MIXED	3070	3070	-0.00654489	0.00346135	-0.00482221	-0.00755476	-0.0119131	0.00989845	-0.0137912	0.0099517	0.00174474	-0.0239074
MIXED	3103	3103	-0.00111825	0.00373413	-0.00451731	-0.0158889	-0.00408519	0.0185471	0.00605875	0.0156928	0.0247631	-0.012935
MIXED	3111	3111	-0.00534945	0.00400815	-0.00253129	-0.00358063	-0.0205964	0.00492019	-0.0178379	0.00540238	0.00733544	0.0284072
MIXED	3112	3112	-0.00996063	0.00326475	-0.00370987	-0.00831727	0.0119436	0.00563348	-0.0125962	0.00940778	-0.00927426	-0.0236987
ASIA	3113	3113	-0.0118995	-0.0105179	0.0442405	0.00369337	0.01007	0.00690605	-0.0110761	0.00876234	0.00570347	-0.00849541
MIXED	3128	3128	0.00530135	-0.0305137	-0.0145891	-0.00117559	-0.00825254	0.00037762	-0.00895089	0.00185581	-0.00919847	0.0212567
MIXED	3132	3132	-0.00415573	0.00352507	-0.00839708	0.00628919	-0.00768988	0.0146407	-0.0177978	0.0374559	0.022294	0.0170193
MIXED	3157	3157	-0.00174477	0.00672929	-0.00708754	-0.0103178	-0.00320114	0.0166814	-0.0101892	0.0149346	-0.0149678	-0.00322491
ASIA	3177	3177	-0.0115994	-0.0119735	0.0505229	0.00601815	0.0146815	-0.0051242	-0.00505465	-0.00917861	-0.0044738	-0.0125911
ASIA	3178	3178	-0.0138445	-0.0112554	0.0428801	0.00713506	-0.0113075	0.00309529	-0.0112322	0.0162805	-0.00714483	0.0025375
AFRICA	3204	3204	0.000765833	-0.0410871	-0.0156502	0.0131465	0.0115264	0.00691351	0.0173962	0.00928341	-0.00909778	-0.00938906
MIXED	3206	3206	0.00390975	-0.0308826	-0.0150617	0.0107958	0.0145913	-0.00900376	-0.0075572	-0.0155038	-0.00122778	0.00645319
MIXED	3231	3231	-0.00234756	0.00506786	-0.00127751	0.00601293	-0.00288087	0.0147146	-0.0153611	0.00256468	0.0162408	0.0114073
MIXED	3253	3253	-0.000176646	-0.022554	-0.00323915	-0.00931234	-0.00676259	-0.0326869	0.00867915	0.00939621	-0.0130604	0.00164404
MIXED	3333	3333	0.00794341	-0.0202853	-0.00731978	-0.0114839	0.00228751	0.0252554	0.00781661	0.0118622	-0.00218628	0.00995676
MIXED	3338	3338	-0.0321086	0.0124572	-0.0116162	0.0101308	-0.00129217	-0.0212756	0.0106913	-0.00826	0.0177699	0.0119691
MIXED	3355	3355	0.00358275	-0.0326092	-0.0140033	0.00547313	0.0143846	-0.00468432	0.00122605	-0.0106229	-0.013922	0.017822
MIXED	3357	3357	0.00260971	-0.0326316	-0.0155833	0.0115786	-0.0161592	-0.00159571	-0.0145685	-0.0227794	0.0300947	0.0167701
MIXED	3369	3369	0.00246873	-0.0333211	-0.0164595	0.0121045	0.0253625	-0.00784983	-0.010202	0.00648217	-0.0154799	-0.0434014
MIXED	3370	3370	0.00396695	-0.0285533	-0.0119152	0.00762047	0.00729874	-0.0049846	-0.00165513	0.0128634	-0.0161937	0.00146246
MIXED	3375	3375	0.00611263	-0.0255935	-0.0124262	0.00825306	0.0396113	-0.0142204	-0.0103022	-0.00141489	-0.00560691	0.00139707
MIXED	3381	3381	0.00652334	-0.0118176	-0.00674416	-0.00792164	-0.0173758	-0.0146798	0.000310003	-0.0115831	-0.00604666	0.0293922
ASIA	3456	3456	-0.0136875	-0.0139499	0.0445622	-0.000253559	0.00194587	-0.000419183	-8.51E-07	-0.018604	0.0225515	-0.00922194
MIXED	3511	3511	-0.00702263	0.00685117	-0.00278122	-0.00353673	0.00686714	0.0267571	0.000690538	-0.00277511	0.0218193	-0.00354994
MIXED	3526	3526	0.00429287	-0.028429	-0.00801202	0.00180109	-0.00780354	0.00117115	-0.00368843	0.000466528	-0.0101851	-0.0221267
AFRICA	3527	3527	0.000458216	-0.0358325	-0.0150036	0.00673422	-0.00378153	-0.0139933	-0.00194988	-0.0045999	0.00702751	0.00870659
MIXED	3555	3555	-0.0011214	0.00647684	-0.0038524	-0.00331044	0.0213801	0.0143132	0.00766096	-0.0162947	0.0218354	0.00643318
MIXED	3566	3566	0.00565867	-0.000650697	-0.00151017	-0.0026446	-0.0032589	0.00501006	-0.0279097	0.020145	0.0184398	-0.00351155
MIXED	3569	3569	0.000952071	-0.0337862	-0.0166017	0.00156413	-0.013714	-0.00662169	0.00902071	0.00780616	-0.0201292	-0.0193455
ASIA	3592	3592	-0.0161184	-0.0132219	0.0469419	0.010294	-0.00689571	0.0119332	-0.00308717	-0.0059417	0.00738734	0.0426489
ASIA	3616	3616	-0.0159467	-0.0140036	0.0484031	0.0035034	0.00718478	-0.00388104	-0.00227143	-0.0142413	0.0281264	-0.0227446
MIXED	3752	3752	-0.00770628	0.000870676	-0.00715321	0.00978357	0.00441893	0.0157949	0.00450907	0.0159415	-0.00142673	0.0133415
MIXED	3879	3879	0.0108396	-0.0047409	-0.00283752	-0.0184928	-0.0212691	0.00102209	-0.00475876	-0.0299769	-0.00111993	0.0166292
MIXED	3880	3880	0.00985154	0.00316361	0.00532334	-0.0195154	0.0308248	-0.0237692	-0.0127966	-0.00158707	0.0106508	-0.0239847
MIXED	3903	3903	0.000917824	-0.00182256	0.00855078	-0.0427309	-0.00324165	-0.0670806	0.0114142	0.0348578	0.0184311	-0.0264795
ASIA	3906	3906	-0.014786	-0.0116614	0.0418438	0.00512688	-0.0198756	0.00405243	-0.00299679	-0.0108428	-0.0267746	0.0140962
MIXED	3907	3907	0.00181552	-0.00108372	0.0128143	-0.0399659	0.00173757	-0.0657638	0.0347146	0.0306564	9.44E-05	-0.00324472
MIXED	3913	3913	0.0078926	0.0031955	0.00624036	-0.0303712	0.0138544	-0.0175694	0.0206861	0.0203553	0.010435	-0.0291455
MIXED	3915	3915	0.0111414	-0.0050837	-0.00337818	-0.0196003	0.0106457	0.00171019	-0.0452778	-0.0161833	-0.0017037	-0.0139457
MIXED	3961	3961	-0.00809079	0.00761013	0.00200646	-0.00593641	0.0109336	0.0133133	0.00509847	-0.0142735	0.00480735	-0.0109154
ASIA	3964	3964	-0.0123537	-0.0104582	0.0449188	-0.00347469	0.00306993	0.00127027	0.00921842	-0.00833951	-0.00640559	-0.0204873
MIXED	3970	3970	0.00267177	0.00235493	-0.00079185	-0.00219484	0.000861255	0.00976163	-0.00139022	0.0139312	-0.00924792	0.0201923
ASIA	3971	3971	-0.0135203	-0.0119717	0.0465666	0.00453356	0.0099036	0.00629641	-0.00325471	-0.0153838	-0.0242371	-0.0153375
AFRICA	4018	4018	0.00200679	-0.0356518	-0.0145737	0.00458389	-0.0023029	-0.0179666	-0.00484408	-0.0194103	0.0124265	-0.00701321
MIXED	4051	4051	-0.0113902	0.00707158	-0.00535938	-0.00434056	-0.0226205	-0.0138091	-0.00410958	-0.0194692	-0.0112489	-0.0133308
ASIA	4052	4052	-0.0111823	-0.010937	0.0394047	-0.000509861	0.0105165	-0.000799258	0.0119179	-0.00890617	-0.00505733	0.00321027
AFRICA	4054	4054	0.000950604	-0.040724	-0.0164962	0.00397479	0.0064726	-0.0129532	0.00520893	-0.00514066	-0.00178812	0.000240454
MIXED	4058	4058	0.00967243	0.00280602	-0.00168499	-0.0166133	-0.00199267	0.0200903	0.018162	-0.0226141	0.0178045	-0.00794488
MIXED	4062	4062	0.00416764	0.00356609	-0.000660919	-0.00850224	-0.0228779	0.0115347	-0.025278	0.0180782	0.0223292	0.0096023
ASIA	4093	4093	-0.0136272	-0.0127639	0.0396956	0.00669151	-0.00982318	0.00010984	0.00196897	-0.00117767	0.0132383	0.0342906
MIXED	4113	4113	-0.0101809	0.00961131	-0.00529105	-0.00162466	-0.00653177	0.00451228	-0.0153135	0.0280687	0.00487126	0.00520374
MIXED	4114	4114	0.00445238	-0.0255494	-0.0123949	-0.00505607	-0.0020972	-0.00385897	0.0107374	-9.04E-05	-0.0173945	0.0152925
Peru	Peru	199510	-0.0374427	0.013035	-0.0145115	0.0154006	-0.0239101	-0.0187885	-0.0151787	-0.00892161	0.00415754	-0.00436514
Peru	Peru	199511	-0.0351387	0.0149441	-0.0166011	0.0119438	0.00527457	-0.00274671	0.00595006	0.0109808	-0.00975276	-0.00367197
Peru	Peru	199512	-0.0341725	0.0126172	-0.0125422	0.00981009	-0.0137924	-0.00270724	-0.024968	0.00585191	-0.0164619	0.0359535
Peru	Peru	199513	-0.0377533	0.0137256	-0.0132523	0.0105297	-0.0199109	-0.00181692	-0.015065	0.0105722	-0.0146704	-0.00557376
Peru	Peru	199514	-0.0320581	0.0136198	-0.00907848	0.0111563	-0.00835306	-0.000250983	-0.0221558	0.00937063	-0.0302684	0.0322789
Peru	Peru	199515	-0.0348464	0.0147847	-0.0130796	0.00926467	-0.00687229	-0.00141737	-0.00081081	-0.0204383	0.0269874	-0.0108947
Peru	Peru	199516	-0.0357447	0.0110613	-0.0132639	0.00793104	-0.00722815	-0.0116225	-0.00608969	5.23E-06	-0.00964753	0.043113
Peru	Peru	199517	-0.0350442	0.0119356	-0.0141451	0.0126896	-0.00687189	-0.00416782	-0.012645	0.0132109	0.00550483	-0.0231168
Peru	Peru	199518	-0.0361337	0.012137	-0.0148329	0.0156477	-0.0129237	-0.0090113	-0.029713	0.0153747	-0.0277947	0.0344903
Peru	Peru	199520	-0.0325614	0.0104209	-0.0132719	0.0200672	0.0074179	-0.000643742	-0.0133832	-0.0138727	0.0088188	0.0221127
Peru	Peru	199521	-0.0332437	0.010963	-0.0140203	0.0116971	-5.80E-06	-0.00345376	0.00194896	0.0159595	-0.0187206	0.0268322
Peru	Peru	199522	-0.0350966	0.0139008	-0.0108036	0.0167576	-0.000773259	-0.0107776	-0.0156115	-0.0101712	0.00498152	0.0187625
Peru	Peru	199523	-0.0364868	0.0139763	-0.0102496	0.0100199	-0.0155537	-0.0147204	-0.0245894	0.00506094	-0.00620559	0.0128419
Peru	Peru	199524	-0.0346823	0.0138255	-0.0136708	0.00595396	-0.0253075	-0.00695973	-0.026975	0.00827514	-0.017759	-0.00907922
Peru	Peru	199525	-0.035459	0.0153988	-0.0140951	0.0104287	0.00134362	-0.0106805	-0.0215696	-0.0129222	0.00685636	0.012781
Peru	Peru	199526	-0.035296	0.0105906	-0.010106	0.0141056	-0.00764691	-0.0133473	-0.0200218	0.0161354	-0.0240934	0.023258
Peru	Peru	199527	-0.0366681	0.0126179	-0.0143892	0.0158759	-0.00112324	-0.000603137	-0.0192516	-0.00893622	0.0155211	0.0118288
Peru	Peru	199528	-0.0299965	0.0153041	-0.0143973	0.00580721	-0.023038	-0.00713502	-0.015967	0.00389542	-0.0180323	-0.0076595
Peru	Peru	199529	-0.0363722	0.0143729	-0.0159446	0.010585	0.00766385	-0.00137368	0.0203253	0.00536099	-0.0143337	-0.000769974
Peru	Peru	199530	-0.035366	0.014312	-0.0138904	0.00505972	-0.0218465	-0.0141312	-0.0207484	0.000890874	-0.00611721	-0.00511277
Peru	Peru	199531	-0.0364189	0.0139518	-0.0107621	0.00844885	-0.0158197	0.000511371	-0.0318082	0.00680703	-0.0195307	0.0121214
Peru	Peru	199532	-0.0347829	0.0140335	-0.0145656	0.0164131	-0.00936331	-0.00423735	-0.00723179	0.000401172	0.000649192	0.0100678
Peru	Peru	199533	-0.0358077	0.0139781	-0.016459	0.0121867	-0.0195971	-0.00619866	-0.00921652	-0.00607372	-0.00968723	-0.0128742
Peru	Peru	199534	-0.0341562	0.0134688	-0.0126539	0.00637931	-0.0199574	-0.00957425	-0.0146158	-0.0249525	0.0161541	-0.00275242
Peru	Peru	199535	-0.0343589	0.0105015	-0.0193119	0.0113456	-0.00745522	-0.00439049	-0.0198233	0.00557365	-0.00300242	0.0232484
Peru	Peru	199536	-0.0347211	0.0139121	-0.0107908	0.0107204	-0.00655017	-0.0061344	-0.00849713	-0.00520043	-0.0184869	0.048069
Peru	Peru	199537	-0.0346449	0.013904	-0.0146673	0.0164019	-0.00980041	-0.00546352	-0.0144768	0.00823519	-0.00194365	0.00850155
Peru	Peru	199538	-0.0362393	0.0143181	-0.0151243	0.0142439	-0.00841045	-0.0105626	-0.0313332	-0.000906738	-0.0119342	-0.0158231
Peru	Peru	199539	-0.0348614	0.0140133	-0.0177781	0.00844818	-0.0126597	-0.00513333	-0.0077269	0.0107074	-0.0302872	0.0204901
Peru	Peru	199540	-0.0380095	0.0147209	-0.0128223	0.012056	-0.00637579	-0.00864712	-0.00504707	-0.000376771	0.00028017	0.0304951
Peru	Peru	199542	-0.0353127	0.0116027	-0.0138107	0.0125661	0.0175106	0.00470578	0.0147396	0.00753563	-0.0123565	0.0217044
Peru	Peru	199543	-0.0355792	0.0163193	-0.0138113	0.0118263	-0.00812562	-0.000612927	-0.0226302	0.0211337	-0.0173342	-0.00153305
Peru	Peru	199544	-0.0341282	0.012478	-0.0103148	0.010504	-0.000787894	0.00501542	0.00554839	-0.0189577	-0.0125655	0.0242352
Peru	Peru	199545	-0.0326794	0.0123387	-0.0125782	0.0132468	-0.0125985	-0.000321943	-0.0186379	-0.00837665	0.00464396	0.0256243
Peru	Peru	199546	-0.0337128	0.0118389	-0.00969302	0.0159581	-0.0059767	-0.00284713	-0.0139095	0.0128451	-0.00788705	0.0325037
Peru	Peru	199547	-0.0383299	0.00981564	-0.0124166	0.0121775	-0.0102152	-0.00882663	-0.026513	0.0183289	-0.0283416	0.0292265
Peru	Peru	199548	-0.0360399	0.0115116	-0.01777	0.0057657	-0.0124859	-0.00131895	-0.0124875	-0.0110661	-0.00428534	-0.00528415
Peru	Peru	199549	-0.0354579	0.0158577	-0.015212	0.0134879	-0.012346	-0.00740518	-0.0139091	0.0130471	-0.0311783	0.0197063
Peru	Peru	199550	-0.0374906	0.0127115	-0.015334	0.0109769	-0.0132045	-0.00676902	-0.0153025	0.0232587	-0.0188416	-0.0244772
Peru	Peru	199551	-0.033816	0.0155289	-0.014646	0.0133623	-0.0168868	-0.010129	-0.0264441	0.0160212	-0.0209173	0.00720321
Peru	Peru	199552	-0.0376703	0.0130614	-0.0124225	0.0156531	-0.00189127	-0.0125063	-0.00601303	-0.0123971	0.0183307	0.0151159
Peru	Peru	199553	-0.0373483	0.0129817	-0.0153309	0.00359263	-0.0149349	-0.00695303	-0.0248031	-0.00162889	-0.0167874	0.0239531
Peru	Peru	199554	-0.0344475	0.0144088	-0.0117683	0.0108691	-0.00650707	-0.00537282	-0.0151414	0.0129662	-0.000394816	0.00817515
Peru	Peru	199555	-0.0337853	0.0132541	-0.011658	0.00692303	-0.00478114	-0.00930814	-0.00840905	-0.00494696	-0.0197813	0.0513908
Peru	Peru	199556	-0.0350448	0.0137859	-0.0133161	0.0146829	0.00849482	0.00115349	-0.00733303	0.00388431	0.00423115	-0.0127342
Peru	Peru	199558	-0.0190707	0.0113911	-0.0113413	-0.00817715	0.0160763	0.0232497	0.0295465	0.0253447	0.0243472	0.0118701
Peru	Peru	199559	-0.0216041	0.011285	-0.0112115	0.00453357	0.0291331	-0.00662263	-0.0263761	0.00432526	-0.00743442	-0.00454573
Peru	Peru	199560	-0.0312385	0.0132791	-0.0157096	0.00901519	-0.0131393	-0.0101951	-0.00149114	-0.00891331	0.0115284	0.01046
Peru	Peru	199561	-0.0169865	-0.000882488	-0.00352721	0.00909542	0.0282018	-0.00318057	-0.0241684	-0.0339028	0.0227696	-0.0231406
Peru	Peru	199562	-0.024879	0.0123884	-0.00919893	-0.000132958	-0.0156058	-0.0105919	0.00640863	-0.0030735	-0.0248074	0.0154177
Peru	Peru	199563	-0.0311189	0.0115126	-0.011098	0.00311028	0.0147223	0.0082362	0.00690061	0.0064823	-0.00931823	-0.0323197
Peru	Peru	199564	-0.0318644	0.0103407	-0.0116915	0.00238283	0.00455515	-0.00433192	0.00310763	-0.0108242	-0.0122831	0.00137927
Peru	Peru	199565	-0.033615	0.0135049	-0.0138913	0.00452813	-0.00476729	-0.0106094	0.0201764	-0.0120116	-0.00146278	0.0127114
Peru	Peru	199566	-0.0302983	0.0129754	-0.0126044	0.0052466	0.0074382	0.0033043	-0.00603642	0.0110436	-0.00592811	-0.0242102
Peru	Peru	199567	-0.0252732	0.0118706	-0.0113534	-0.00090619	-0.0128277	-0.0026398	-0.00140347	-0.00270394	0.023354	-0.012929
Peru	Peru	199568	-0.0370265	0.0119698	-0.0153336	0.00116702	0.0024863	-0.00637095	0.0149016	-0.00355956	0.000564369	0.0196631
Peru	Peru	199569	-0.0221885	0.00963139	-0.0115077	0.00291738	-0.0195257	0.00416485	-0.0183021	0.0204166	0.00174311	0.013161
Peru	Peru	199570	-0.032808	0.0116425	-0.0100155	0.00405131	0.0224232	0.000346432	0.014508	-0.00766522	0.00771067	-0.0236538
Peru	Peru	199571	-0.0300441	0.0123565	-0.0140243	0.00876715	0.00924477	0.00171715	0.0189617	0.0215085	0.0115631	0.00580099
Peru	Peru	199572	-0.0258508	0.0109948	-0.0115136	0.00241225	0.0283285	0.0133476	0.0237071	0.00346361	-0.00867997	0.00105404
Peru	Peru	199573	-0.00985877	0.00424682	-0.00542968	-0.00798055	-0.0129994	0.00210883	1.93E-05	0.00443054	-0.0199973	0.00795987
Peru	Peru	199574	-0.0172646	0.00969129	-0.00575711	0.00689676	-0.023517	0.013259	-0.0282603	0.037621	0.016873	-0.00295419
Peru	Peru	199575	-0.0225498	0.00670515	-0.00704474	-0.00118962	-0.0254306	-0.00361808	0.00642163	-0.0305084	-0.00731725	-0.00046723
Peru	Peru	199576	-0.0265564	0.0110606	-0.0110388	0.00183502	-0.00295799	0.000816885	0.00206998	0.00361057	-0.0233894	-0.00930142
Peru	Peru	199577	-0.0173525	0.0125831	-0.00872658	-0.00483944	0.00244397	-0.000556344	0.0183766	-0.00267146	0.0106022	-0.00695226
Peru	Peru	199578	-0.0272122	0.0122442	-0.00997037	0.00477858	-0.00738679	0.00209635	0.0133452	-0.016277	-0.00375666	-0.00243628
Peru	Peru	199579	-0.0256522	0.00934428	-0.0112715	0.00349004	-0.00269041	-0.0117866	-0.00535188	0.0122401	-0.0171588	0.0251572
Peru	Peru	199580	-0.027038	0.0112553	-0.0125274	0.00399529	0.0140022	-0.00264391	0.0129435	0.00887858	0.0156253	-0.00508952
Peru	Peru	199581	-0.0309592	0.0148926	-0.0128537	0.00156396	0.00110281	0.000413343	0.0161063	-0.00116221	-0.0154695	0.0177529
Peru	Peru	199583	-0.0167456	0.00506929	-0.00890108	-0.00300224	-0.00508143	-0.00913957	-0.00968665	-0.00964348	-0.0231261	0.019188
Peru	Peru	199584	-0.0133869	0.00282778	-0.00693918	-0.00168758	-0.0144343	-0.0111318	0.00843202	0.00724867	-0.0141756	0.000409483
Peru	Peru	199585	-0.0212247	0.00902281	-0.0118245	-0.00747717	0.00557053	0.0128322	0.0170159	-0.00481373	0.00495564	0.00108171
Peru	Peru	199586	-0.0272709	0.0104603	-0.00958459	-0.000896323	0.0232871	0.00376679	0.0175045	0.0125826	-0.000171913	-0.0137658
Peru	Peru	199587	-0.0285055	0.00690635	-0.0105515	0.00283691	-0.0137985	0.00641238	-0.0121504	-0.00356164	0.0132393	-0.0252425
Peru	Peru	199588	-0.0289975	0.0108278	-0.00820213	0.00561145	-0.00484534	-0.00759457	-0.0149131	0.00212828	-0.0196025	0.013538
Peru	Peru	199589	-0.019426	0.00940814	-0.00729069	-0.00103463	-0.00866966	0.00323831	-0.0182608	0.0301248	0.0138732	-0.010146
Peru	Peru	199590	-0.0251792	0.00725943	-0.00930989	0.00347857	0.000479718	-0.0127626	-0.0214094	-0.00700817	-0.0139121	0.00878716
Peru	Peru	199591	-0.0321425	0.011877	-0.0119708	0.00818118	-0.00607915	0.0029992	0.00581185	-0.0108674	0.016043	0.0248708
Peru	Peru	199592	-0.0106341	-0.000747345	-0.00685684	-0.000742433	0.0145543	0.00928485	0.00133751	0.00664702	0.0083768	0.0184483
Peru	Peru	199593	-0.0174322	0.00761561	-0.00622192	-0.00730987	-0.0146911	-0.00549177	0.00334579	-0.00682556	-0.000473672	-0.0111138
Peru	Peru	199594	-0.0315682	0.0138282	-0.0109001	0.00710859	-0.0113144	-0.0167132	0.0112475	-0.0281719	0.00596004	0.0389318
Peru	Peru	199595	-0.0342636	0.0108273	-0.0139507	0.00312138	0.000676706	0.000438582	0.013998	-0.0165745	0.00190494	-0.000935772
Peru	Peru	199596	-0.0211144	0.0116331	-0.00807037	0.00121995	-0.00370428	-0.00548065	-0.00392474	-0.00711017	-0.00508158	0.00546013
Peru	Peru	199597	-0.0144004	0.00900132	-0.00967869	-0.00726761	-0.000739525	0.0221637	0.0225829	0.0185853	0.000901696	0.00807557
Peru	Peru	199600	-0.0252074	0.0120591	-0.00933926	0.00360777	-0.00632494	0.00220351	0.00112952	0.0173074	-0.0198474	-0.00485795
Peru	Peru	199601	-0.0121762	0.00911966	-0.00918047	-0.00185248	0.0116261	-0.00225799	-0.00626498	-0.00665537	-0.0173383	0.0232695
Peru	Peru	199602	-0.0360415	0.0140899	-0.0134035	0.00858227	0.0036011	-0.000733519	0.0191378	-0.00440537	0.00638373	0.00545859
Peru	Peru	199603	-0.01384	0.00927654	-0.00675469	-0.0030758	-0.0100393	-0.00724304	0.00084861	-0.0181296	-0.00866366	0.0275086
Peru	Peru	199604	-0.0326669	0.0140142	-0.0156474	0.00597798	0.00473555	-0.00826038	0.00614375	-0.0129824	0.0141694	-0.0103269
Peru	Peru	199605	-0.0147403	0.00723463	-0.00321225	-0.000553576	0.0140075	-0.00332381	-0.00339389	-0.000501171	0.00151627	-0.0152522
Peru	Peru	199606	-0.0268416	0.00473914	-0.000762362	0.0027965	-0.0067053	-0.00251216	0.0155325	-0.0212522	0.0126908	0.00769742
Peru	Peru	199607	-0.0313917	0.0138797	-0.0116494	0.00711688	0.00378708	-0.00136234	-0.00603806	0.0127579	-0.00229968	-0.0211826
Peru	Peru	199608	-0.0163492	0.00797459	-0.00812868	0.00238506	0.0101826	0.00818175	0.0164228	-0.00192141	0.00989031	0.0163105
Peru	Peru	199609	-0.0346514	0.0139473	-0.0139316	0.00608998	0.00541135	0.00432196	0.0154086	-0.0133899	0.0218541	-0.018821
Peru	Peru	199610	-0.00838061	-0.00121096	-0.00272273	-0.00677876	2.09E-05	0.0174212	0.00314767	0.0119633	0.00679003	0.00928154
Peru	Peru	199611	-0.0220384	0.0123356	-0.0109109	0.00223954	-0.0168563	-0.00585827	-0.00818731	0.0181566	-0.00384091	0.011564
